"filename", "language", "XML", "Log", "JSON", "Markdown", "C#", "comment", "blank", "total"
"d:\u3d项目\Neko Big War\Assembly-CSharp.csproj", "XML", -1072, 0, 0, 0, 0, -1, -1, -1074
"d:\u3d项目\Neko Big War\Cinemachine.csproj", "XML", -1040, 0, 0, 0, 0, -1, -1, -1042
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker0-prev.log", "Log", 0, -967, 0, 0, 0, 0, -17, -984
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker0.log", "Log", 0, -104, 0, 0, 0, 0, -2, -106
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker1-prev.log", "Log", 0, -943, 0, 0, 0, 0, -17, -960
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker1.log", "Log", 0, -104, 0, 0, 0, 0, -2, -106
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker2.log", "Log", 0, -1569, 0, 0, 0, 0, -27, -1596
"d:\u3d项目\Neko Big War\Logs\AssetImportWorker3.log", "Log", 0, -1527, 0, 0, 0, 0, -27, -1554
"d:\u3d项目\Neko Big War\Logs\shadercompiler-AssetImportWorker0.log", "Log", 0, -2, 0, 0, 0, 0, -2, -4
"d:\u3d项目\Neko Big War\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 0, -2, 0, 0, 0, 0, -2, -4
"d:\u3d项目\Neko Big War\NavMeshPlus.csproj", "XML", -976, 0, 0, 0, 0, -1, -1, -978
"d:\u3d项目\Neko Big War\NavMeshPlusEditor.csproj", "XML", -996, 0, 0, 0, 0, -1, -1, -998
"d:\u3d项目\Neko Big War\PPv2URPConverters.csproj", "XML", -998, 0, 0, 0, 0, -1, -1, -1000
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\System.Collections.NonGeneric.xml", "XML", -1543, 0, 0, 0, 0, 0, 0, -1543
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\de\System.Collections.NonGeneric.xml", "XML", -1553, 0, 0, 0, 0, 0, 0, -1553
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\es\System.Collections.NonGeneric.xml", "XML", -1592, 0, 0, 0, 0, 0, 0, -1592
"d:\u3d项目\Neko Big War\Packages\System.Collections.NonGeneric.4.3.0\ref\netstandard1.3\fr\System.Collections.NonGeneric.xml", "XML", -1630, 0, 0, 0, 0, 0, 0, -1630
