Date : 2025-09-01 19:13:59
Directory : d:\u3d项目\Neko Big War\Assets
Total : 96 files,  11875 codes, 1252 comments, 1415 blanks, all 14542 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         76 |      6,161 |      1,170 |        767 |      8,098 |
| XML         |          2 |      3,221 |          0 |          2 |      3,223 |
| UnityShader |         17 |      2,338 |         82 |        644 |      3,064 |
| JSON        |          1 |        155 |          0 |          2 |        157 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         96 |     11,875 |      1,252 |      1,415 |     14,542 |
| DOTween                                                                             |         10 |      4,516 |        555 |        224 |      5,295 |
| DOTween (Files)                                                                     |          1 |      3,077 |          0 |          1 |      3,078 |
| DOTween\Editor                                                                      |          1 |        144 |          0 |          1 |        145 |
| DOTween\Modules                                                                     |          8 |      1,295 |        555 |        222 |      2,072 |
| Scripts                                                                             |         68 |      4,866 |        615 |        545 |      6,026 |
| Scripts\AgentScript                                                                 |          4 |        997 |        111 |         83 |      1,191 |
| Scripts\Application                                                                 |          2 |         17 |         17 |          4 |         38 |
| Scripts\DataObject                                                                  |          6 |        112 |          0 |         10 |        122 |
| Scripts\EnemyScript                                                                 |          3 |        642 |         85 |         47 |        774 |
| Scripts\FortificationScript                                                         |          4 |        280 |         20 |         32 |        332 |
| Scripts\GamePlay                                                                    |          5 |        677 |         53 |         69 |        799 |
| Scripts\HQScript                                                                    |          2 |         24 |          4 |         10 |         38 |
| Scripts\NekoScript                                                                  |          2 |        117 |         17 |         21 |        155 |
| Scripts\Skill                                                                       |         22 |        844 |         50 |        132 |      1,026 |
| Scripts\Skill (Files)                                                               |          2 |        145 |         17 |         39 |        201 |
